"","h_a","xG","xGA","npxG","npxGA","deep","deep_allowed","scored","conceded","xpts","result","date","wins","draws","losses","pts","npxGD","team","ppda_cal","allowed_ppda","cum_points","round","cum_goal","cum_conceded","Referee","HS","HST","HF","HC","HY","HR","AS","AST","AF","AC","AY","AR","B365H","B365D","B365A","HtrgPerc","AtrgPerc","match_id","shots","shots_target","yellow_cards","red_cards","fouls","corners"
"19","a",1.09534,2.37442,1.09534,1.61326,4,8,0,4,0.4992,"l",2019-08-11,0,0,1,0,-0.51792,"Chelsea",6.45238095238095,9.06451612903226,0,1,0,4,"A Taylor",11,5,15,3,3,0,18,7,13,5,4,0,2.1,3.3,3.5,0.454545454545455,0.388888888888889,10,18,7,4,0,13,5
"20","h",2.37442,1.09534,1.61326,1.09534,8,4,4,0,2.3226,"w",2019-08-11,1,0,0,3,0.51792,"Man United",9.06451612903226,6.45238095238095,3,1,4,0,"A Taylor",11,5,15,3,3,0,18,7,13,5,4,0,2.1,3.3,3.5,0.454545454545455,0.388888888888889,10,11,5,3,0,15,3
"21","h",1.1644,1.39172,1.1644,1.39172,8,4,2,1,1.1533,"w",2019-08-17,1,0,0,3,-0.22732,"Arsenal",5.3125,11.3846153846154,6,2,3,1,"M Dean",16,9,13,10,2,0,18,5,11,7,1,0,1.3,5.5,10,0.5625,0.277777777777778,11,16,9,2,0,13,10
"22","a",1.39172,1.1644,1.39172,1.1644,4,8,1,2,1.5631,"l",2019-08-17,0,0,1,0,0.22732,"Burnley",11.3846153846154,5.3125,3,2,4,2,"M Dean",16,9,13,10,2,0,18,5,11,7,1,0,1.3,5.5,10,0.5625,0.277777777777778,11,18,5,1,0,11,7
"23","h",1.65069,1.62777,1.65069,0.866605,12,9,1,2,1.3698,"l",2019-08-17,0,0,1,0,0.784085,"Aston Villa",13,10.72,0,2,2,5,"M Atkinson",22,7,10,10,0,0,12,4,13,5,2,0,2.3,3.4,3.1,0.318181818181818,0.333333333333333,12,22,7,0,0,10,10
"24","a",1.62777,1.65069,0.866605,1.65069,9,12,2,1,1.3578,"w",2019-08-17,1,0,0,3,-0.784085,"Bournemouth",10.72,13,4,2,3,2,"M Atkinson",22,7,10,10,0,0,12,4,13,5,2,0,2.3,3.4,3.1,0.318181818181818,0.333333333333333,12,12,4,2,0,13,5
"25","h",2.40461,1.00856,2.40461,1.00856,8,4,1,1,2.3339,"d",2019-08-17,0,1,0,1,1.39605,"Brighton",5.48571428571429,8.87096774193548,4,2,4,1,"A Taylor",16,4,11,8,0,0,8,3,10,6,2,0,2.55,3.25,2.87,0.25,0.375,13,16,4,0,0,11,8
"26","h",0.832913,1.17279,0.832913,1.17279,4,3,1,0,1.015,"w",2019-08-17,1,0,0,3,-0.339877,"Everton",8.86363636363636,3.925,4,2,1,0,"L Mason",12,2,11,4,2,0,8,2,11,7,3,0,1.72,3.8,4.75,0.166666666666667,0.25,13,12,2,2,0,11,4
"27","a",1.52022,2.14047,1.52022,2.14047,6,1,2,1,0.9463,"w",2019-08-17,1,0,0,3,-0.62025,"Liverpool",9.42857142857143,12,6,2,6,2,"A Marriner",14,3,10,5,2,0,15,6,6,9,1,0,6.5,4.75,1.44,0.214285714285714,0.4,14,15,6,1,0,6,9
"28","a",0.920429,2.09572,0.920429,2.09572,6,9,1,3,0.565,"l",2019-08-17,0,0,1,0,-1.175291,"Newcastle United",17.5,13.9285714285714,0,2,1,4,"S Attwell",15,8,9,7,1,0,10,3,11,5,3,0,2.25,3.3,3.3,0.533333333333333,0.3,14,10,3,3,0,11,5
"29","h",2.09572,0.920429,2.09572,0.920429,9,6,3,1,2.2375,"w",2019-08-17,1,0,0,3,1.175291,"Norwich",13.9285714285714,17.5,3,2,4,5,"S Attwell",15,8,9,7,1,0,10,3,11,5,3,0,2.25,3.3,3.3,0.533333333333333,0.3,15,15,8,1,0,9,7
"30","h",2.14047,1.52022,2.14047,1.52022,1,6,1,2,1.8259,"l",2019-08-17,0,0,1,0,0.62025,"Southampton",12,9.42857142857143,0,2,1,5,"A Marriner",14,3,10,5,2,0,15,6,6,9,1,0,6.5,4.75,1.44,0.214285714285714,0.4,15,14,3,2,0,10,5
"31","a",1.17279,0.832913,1.17279,0.832913,3,4,0,1,1.663,"l",2019-08-17,0,0,1,0,0.339877,"Watford",3.925,8.86363636363636,0,2,0,4,"L Mason",12,2,11,4,2,0,8,2,11,7,3,0,1.72,3.8,4.75,0.166666666666667,0.25,16,8,2,3,0,11,7
"32","a",1.00856,2.40461,1.00856,2.40461,4,8,1,1,0.4871,"d",2019-08-17,0,1,0,1,-1.39605,"West Ham",8.87096774193548,5.48571428571429,1,2,1,6,"A Taylor",16,4,11,8,0,0,8,3,10,6,2,0,2.55,3.25,2.87,0.25,0.375,16,8,3,2,0,10,6
"33","h",3.20076,0.074542,3.20076,0.074542,10,2,2,2,2.9323,"d",2019-08-17,0,1,0,1,3.126218,"Man City",8.97674418604651,47.1428571428571,4,2,7,2,"M Oliver",30,10,14,13,1,0,3,2,4,2,0,0,1.36,5.25,8,0.333333333333333,0.666666666666667,17,30,10,1,0,14,13
"34","a",0.074542,3.20076,0.074542,3.20076,2,10,2,2,0.0376,"d",2019-08-17,0,1,0,1,-3.126218,"Tottenham",47.1428571428571,8.97674418604651,4,2,5,3,"M Oliver",30,10,14,13,1,0,3,2,4,2,0,0,1.36,5.25,8,0.333333333333333,0.666666666666667,17,3,2,0,0,4,2
"35","a",0.241912,1.84778,0.241912,1.84778,5,2,0,1,0.2206,"l",2019-08-18,0,0,1,0,-1.605868,"Crystal Palace",11.6,11.12,1,2,0,1,"D Coote",15,3,16,8,3,0,6,4,11,4,1,0,2.55,3.1,2.9,0.2,0.666666666666667,18,6,4,1,0,11,4
"36","h",1.84778,0.241912,1.84778,0.241912,2,5,1,0,2.6386,"w",2019-08-18,1,0,0,3,1.605868,"Sheffield United",11.12,11.6,4,2,2,1,"D Coote",15,3,16,8,3,0,6,4,11,4,1,0,2.55,3.1,2.9,0.2,0.666666666666667,18,15,3,3,0,16,8
"37","h",1.22629,0.947941,1.22629,0.947941,4,5,1,1,1.6181,"d",2019-08-18,0,1,0,1,0.278349,"Chelsea",10.5769230769231,6.2972972972973,1,2,1,5,"O Langford",14,5,9,4,1,0,12,3,14,5,0,0,1.7,3.75,5,0.357142857142857,0.25,19,14,5,1,0,9,4
"38","a",0.947941,1.22629,0.947941,1.22629,5,4,1,1,1.0811,"d",2019-08-18,0,1,0,1,-0.278349,"Leicester",6.2972972972973,10.5769230769231,2,2,1,1,"O Langford",14,5,9,4,1,0,12,3,14,5,0,0,1.7,3.75,5,0.357142857142857,0.25,19,12,3,0,0,14,5
"39","a",1.14332,0.307356,0.382148,0.307356,9,5,1,1,2.3024,"d",2019-08-19,0,1,0,1,0.074792,"Man United",8.36363636363636,19.95,4,2,5,1,"J Moss",6,2,17,4,2,0,9,2,8,6,2,0,3.3,3.3,2.25,0.333333333333333,0.222222222222222,20,9,2,2,0,8,6
"40","h",0.307356,1.14332,0.307356,0.382148,5,9,1,1,0.4379,"d",2019-08-19,0,1,0,1,-0.074792,"Wolves",19.95,8.36363636363636,2,2,1,1,"J Moss",6,2,17,4,2,0,9,2,8,6,2,0,3.3,3.3,2.25,0.333333333333333,0.222222222222222,20,6,2,2,0,17,4
"41","h",0.855926,1.25668,0.855926,1.25668,6,12,2,0,0.9697,"w",2019-08-23,1,0,0,3,-0.400754,"Aston Villa",13.25,5.40740740740741,3,3,4,5,"M Oliver",7,3,10,0,2,0,12,1,18,6,3,0,3.25,3.5,2.15,0.428571428571429,0.0833333333333333,21,7,3,2,0,10,0
"42","a",1.25668,0.855926,1.25668,0.855926,12,6,0,2,1.7245,"l",2019-08-23,0,0,1,0,0.400754,"Everton",5.40740740740741,13.25,4,3,1,2,"M Oliver",7,3,10,0,2,0,12,1,18,6,3,0,3.25,3.5,2.15,0.428571428571429,0.0833333333333333,21,12,1,3,0,18,6
"43","a",1.89428,1.07904,1.89428,1.07904,12,5,3,2,1.9533,"w",2019-08-24,1,0,0,3,0.81524,"Chelsea",13.7272727272727,10,4,3,4,7,"M Atkinson",6,5,9,1,1,0,23,8,9,8,1,0,4.33,3.75,1.8,0.833333333333333,0.347826086956522,22,23,8,1,0,9,8
"44","h",1.07904,1.89428,1.07904,1.89428,5,12,2,3,0.7872,"l",2019-08-24,0,0,1,0,-0.81524,"Norwich",10,13.7272727272727,3,3,6,8,"M Atkinson",6,5,9,1,1,0,23,8,9,8,1,0,4.33,3.75,1.8,0.833333333333333,0.347826086956522,22,6,5,1,0,9,1
"45","h",0.997711,2.07795,0.997711,2.07795,6,6,0,2,0.5691,"l",2019-08-24,0,0,1,0,-1.080239,"Brighton",9.17391304347826,10.75,4,3,4,3,"K Friend",12,3,9,8,1,1,12,4,10,5,3,0,2.4,3.3,3,0.25,0.333333333333333,23,12,3,1,1,9,8
"46","a",0.676993,2.23561,0.676993,1.47444,2,7,2,1,0.3503,"w",2019-08-24,1,0,0,3,-0.797447,"Crystal Palace",15.2777777777778,6.85714285714286,4,3,2,2,"P Tierney",22,3,8,8,2,0,5,3,18,1,4,0,1.33,5.25,9,0.136363636363636,0.6,23,5,3,4,0,18,1
"47","a",0.704879,0.654318,0.704879,0.654318,9,4,2,1,1.3218,"w",2019-08-24,1,0,0,3,0.0505610000000001,"Leicester",8.94117647058824,11.3913043478261,5,3,3,2,"A Madley",8,3,11,7,1,0,10,2,6,4,0,0,3.3,3.3,2.25,0.375,0.2,24,10,2,0,0,6,4
"48","h",2.23561,0.676993,1.47444,0.676993,7,2,1,2,2.4881,"l",2019-08-24,0,0,1,0,0.797447,"Man United",6.85714285714286,15.2777777777778,4,3,6,3,"P Tierney",22,3,8,8,2,0,5,3,18,1,4,0,1.33,5.25,9,0.136363636363636,0.6,24,22,3,2,0,8,8
"49","h",0.654318,0.704879,0.654318,0.704879,4,9,1,2,1.2765,"l",2019-08-24,0,0,1,0,-0.0505610000000001,"Sheffield United",11.3913043478261,8.94117647058824,4,3,3,3,"A Madley",8,3,11,7,1,0,10,2,6,4,0,0,3.3,3.3,2.25,0.375,0.2,25,8,3,1,0,11,7
"50","a",2.07795,0.997711,2.07795,0.997711,6,6,2,0,2.2194,"w",2019-08-24,1,0,0,3,1.080239,"Southampton",10.75,9.17391304347826,3,3,3,5,"K Friend",12,3,9,8,1,1,12,4,10,5,3,0,2.4,3.3,3,0.25,0.333333333333333,25,12,4,3,0,10,5
"51","h",2.29348,3.45768,2.29348,2.69651,20,10,1,3,0.6389,"l",2019-08-24,0,0,1,0,-0.40303,"Watford",9.28571428571429,12.9473684210526,0,3,1,7,"C Kavanagh",23,3,12,8,1,0,16,10,11,7,1,0,2.05,3.5,3.5,0.130434782608696,0.625,26,23,3,1,0,12,8
"52","a",3.45768,2.29348,2.69651,2.29348,10,20,3,1,2.1833,"w",2019-08-24,1,0,0,3,0.40303,"West Ham",12.9473684210526,9.28571428571429,4,3,4,7,"C Kavanagh",23,3,12,8,1,0,16,10,11,7,1,0,2.05,3.5,3.5,0.130434782608696,0.625,26,16,10,1,0,11,7
"53","a",0.985542,2.78821,0.985542,2.02704,7,9,1,3,0.3434,"l",2019-08-24,0,0,1,0,-1.041498,"Arsenal",28.4285714285714,9.78378378378378,6,3,4,4,"A Taylor",25,5,8,6,1,0,9,3,5,4,1,0,1.5,4.6,6,0.2,0.333333333333333,27,9,3,1,0,5,4
"54","h",2.78821,0.985542,2.02704,0.985542,9,7,3,1,2.5205,"w",2019-08-24,1,0,0,3,1.041498,"Liverpool",9.78378378378378,28.4285714285714,9,3,9,3,"A Taylor",25,5,8,6,1,0,9,3,5,4,1,0,1.5,4.6,6,0.2,0.333333333333333,27,25,5,1,0,8,6
"55","h",1.89345,3.12856,1.89345,3.12856,3,17,1,3,0.6611,"l",2019-08-25,0,0,1,0,-1.23511,"Bournemouth",22.9,5.17391304347826,4,3,4,5,"A Marriner",10,7,7,4,1,0,19,5,13,5,3,0,15,7.5,1.16,0.7,0.263157894736842,28,10,7,1,0,7,4
"56","a",3.12856,1.89345,3.12856,1.89345,17,3,3,1,2.1653,"w",2019-08-25,1,0,0,3,1.23511,"Man City",5.17391304347826,22.9,7,3,10,3,"A Marriner",10,7,7,4,1,0,19,5,13,5,3,0,15,7.5,1.16,0.7,0.263157894736842,28,19,5,3,0,13,5
