"","team","h_a","match_id","Date","FTHG","FTAG","FTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","scored","conceded","result","pts","HtrgPerc","AtrgPerc","wins","draws","losses","cum_points","cum_goal","cum_con","shots","shots_target","yellow_cards","red_cards","fouls","corners","shot_accuracy","opposition","opposition_rank","opposition_rank_group"
"258","Man United","a",129,2019-11-24,3,3,"D","A Marriner",12,11,8,5,13,10,6,3,1,2,0,0,3.5,3.4,2.1,3,3,"d",1,0.666666666666667,0.454545454545455,0,1,0,17,19,15,11,5,2,0,10,3,0.454545454545455,"Sheffield United",9,"8th-12th"
"259","Aston Villa","h",130,2019-11-25,2,0,"H","L Mason",17,11,8,5,10,9,11,6,1,1,0,0,2.05,3.4,3.7,2,0,"w",3,0.470588235294118,0.454545454545455,1,0,0,14,19,20,17,8,1,0,10,11,0.470588235294118,"Newcastle",13,"12th-16th"
"260","Newcastle","a",130,2019-11-25,2,0,"H","L Mason",17,11,8,5,10,9,11,6,1,1,0,0,2.05,3.4,3.7,0,2,"l",0,0.470588235294118,0.454545454545455,0,0,1,15,11,20,11,5,1,0,9,6,0.454545454545455,"Aston Villa",17,"16th-20th"
"261","Newcastle","h",131,2019-11-30,2,2,"D","C Kavanagh",6,24,3,9,4,6,1,10,1,2,0,0,13,8,1.16,2,2,"d",1,0.5,0.375,0,1,0,16,13,22,6,3,1,0,4,1,0.5,"Man City",2,"1st-4th"
"262","Man City","a",131,2019-11-30,2,2,"D","C Kavanagh",6,24,3,9,4,6,1,10,1,2,0,0,13,8,1.16,2,2,"d",1,0.5,0.375,0,1,0,29,39,16,24,9,2,0,6,10,0.375,"Newcastle",13,"12th-16th"
"263","Burnley","h",132,2019-11-30,0,2,"A","P Bankes",15,7,4,2,13,10,5,6,2,0,0,0,2.25,3.25,3.3,0,2,"l",0,0.266666666666667,0.285714285714286,0,0,1,18,20,20,15,4,2,0,13,5,0.266666666666667,"Crystal Palace",14,"12th-16th"
"264","Crystal Palace","a",132,2019-11-30,0,2,"A","P Bankes",15,7,4,2,13,10,5,6,2,0,0,0,2.25,3.25,3.3,2,0,"w",3,0.266666666666667,0.285714285714286,1,0,0,18,13,18,7,2,0,0,10,6,0.285714285714286,"Burnley",10,"8th-12th"
"265","Chelsea","h",133,2019-11-30,0,1,"A","J Moss",19,5,6,4,0,16,9,3,0,3,0,0,1.28,6,9,0,1,"l",0,0.315789473684211,0.8,0,0,1,26,28,20,19,6,0,0,0,9,0.315789473684211,"West Ham",16,"12th-16th"
"266","West Ham","a",133,2019-11-30,0,1,"A","J Moss",19,5,6,4,0,16,9,3,0,3,0,0,1.28,6,9,1,0,"w",3,0.315789473684211,0.8,1,0,0,16,17,23,5,4,3,0,16,3,0.8,"Chelsea",4,"1st-4th"
"267","Liverpool","h",134,2019-11-30,2,1,"H","M Atkinson",15,12,7,5,3,10,4,5,0,0,1,0,1.18,7,15,2,1,"w",3,0.466666666666667,0.416666666666667,1,0,0,40,32,12,15,7,0,1,3,4,0.466666666666667,"Brighton",15,"12th-16th"
"268","Brighton","a",134,2019-11-30,2,1,"H","M Atkinson",15,12,7,5,3,10,4,5,0,0,1,0,1.18,7,15,1,2,"l",0,0.466666666666667,0.416666666666667,0,0,1,15,16,21,12,5,0,0,10,5,0.416666666666667,"Liverpool",1,"1st-4th"
"269","Tottenham","h",135,2019-11-30,3,2,"H","L Mason",15,20,5,6,10,12,4,8,0,2,0,0,1.36,5.5,7.5,3,2,"w",3,0.333333333333333,0.3,1,0,0,20,24,21,15,5,0,0,10,4,0.333333333333333,"Bournemouth",19,"16th-20th"
"270","Bournemouth","a",135,2019-11-30,3,2,"H","L Mason",15,20,5,6,10,12,4,8,0,2,0,0,1.36,5.5,7.5,2,3,"l",0,0.333333333333333,0.3,0,0,1,16,18,20,20,6,2,0,12,8,0.3,"Tottenham",6,"5th-8th"
"271","Southampton","h",136,2019-11-30,2,1,"H","M Oliver",11,6,6,3,6,10,6,7,1,0,0,0,2.1,3.4,3.5,2,1,"w",3,0.545454545454545,0.5,1,0,0,12,15,32,11,6,1,0,6,6,0.545454545454545,"Watford",18,"16th-20th"
"272","Watford","a",136,2019-11-30,2,1,"H","M Oliver",11,6,6,3,6,10,6,7,1,0,0,0,2.1,3.4,3.5,1,2,"l",0,0.545454545454545,0.5,0,0,1,8,9,28,6,3,0,0,10,7,0.5,"Southampton",11,"8th-12th"
"273","Norwich","h",137,2019-12-01,2,2,"D","P Tierney",15,16,8,7,8,10,7,12,2,1,0,0,4,4.33,1.75,2,2,"d",1,0.533333333333333,0.4375,0,1,0,11,15,30,15,8,2,0,8,7,0.533333333333333,"Arsenal",8,"5th-8th"
"274","Arsenal","a",137,2019-12-01,2,2,"D","P Tierney",15,16,8,7,8,10,7,12,2,1,0,0,4,4.33,1.75,2,2,"d",1,0.533333333333333,0.4375,0,1,0,19,20,21,16,7,1,0,10,12,0.4375,"Norwich",20,"16th-20th"
"275","Wolves","h",138,2019-12-01,1,1,"D","D Coote",13,9,3,4,12,18,7,2,1,4,0,0,1.9,3.5,4.2,1,1,"d",1,0.230769230769231,0.444444444444444,0,1,0,20,19,17,13,3,1,0,12,7,0.230769230769231,"Sheffield United",9,"8th-12th"
"276","Sheffield United","a",138,2019-12-01,1,1,"D","D Coote",13,9,3,4,12,18,7,2,1,4,0,0,1.9,3.5,4.2,1,1,"d",1,0.230769230769231,0.444444444444444,0,1,0,19,17,13,9,4,4,0,18,2,0.444444444444444,"Wolves",7,"5th-8th"
"277","Leicester","h",139,2019-12-01,2,1,"H","G Scott",16,11,6,3,7,9,4,4,0,1,0,0,1.61,4,5.25,2,1,"w",3,0.375,0.272727272727273,1,0,0,32,33,9,16,6,0,0,7,4,0.375,"Everton",12,"8th-12th"
"278","Everton","a",139,2019-12-01,2,1,"H","G Scott",16,11,6,3,7,9,4,4,0,1,0,0,1.61,4,5.25,1,2,"l",0,0.375,0.272727272727273,0,0,1,14,14,22,11,3,1,0,9,4,0.272727272727273,"Leicester",5,"5th-8th"
"279","Man United","h",140,2019-12-01,2,2,"D","C Pawson",16,9,6,3,16,8,9,9,4,1,0,0,1.45,4.5,7,2,2,"d",1,0.375,0.333333333333333,0,1,0,18,21,17,16,6,4,0,16,9,0.375,"Aston Villa",17,"16th-20th"
"280","Aston Villa","a",140,2019-12-01,2,2,"D","C Pawson",16,9,6,3,16,8,9,9,4,1,0,0,1.45,4.5,7,2,2,"d",1,0.375,0.333333333333333,0,1,0,15,21,22,9,3,1,0,8,9,0.333333333333333,"Man United",3,"1st-4th"
"281","Crystal Palace","h",141,2019-12-03,1,0,"H","A Taylor",7,6,2,3,6,15,6,9,3,3,1,0,2.2,3.4,3.25,1,0,"w",3,0.285714285714286,0.5,1,0,0,21,14,18,7,2,3,1,6,6,0.285714285714286,"Bournemouth",19,"16th-20th"
"282","Bournemouth","a",141,2019-12-03,1,0,"H","A Taylor",7,6,2,3,6,15,6,9,3,3,1,0,2.2,3.4,3.25,0,1,"l",0,0.285714285714286,0.5,0,0,1,16,18,21,6,3,3,0,15,9,0.5,"Crystal Palace",14,"12th-16th"
"283","Burnley","h",142,2019-12-03,1,4,"A","J Moss",4,17,2,8,9,6,3,6,1,1,0,0,11,7,1.22,1,4,"l",0,0.5,0.470588235294118,0,0,1,18,21,24,4,2,1,0,9,3,0.5,"Man City",2,"1st-4th"
"284","Man City","a",142,2019-12-03,1,4,"A","J Moss",4,17,2,8,9,6,3,6,1,1,0,0,11,7,1.22,4,1,"w",3,0.5,0.470588235294118,1,0,0,32,43,17,17,8,1,0,6,6,0.470588235294118,"Burnley",10,"8th-12th"
"285","Chelsea","h",143,2019-12-04,2,1,"H","C Kavanagh",25,9,9,3,18,10,9,5,2,1,0,0,1.28,5.75,10,2,1,"w",3,0.36,0.333333333333333,1,0,0,29,30,21,25,9,2,0,18,9,0.36,"Aston Villa",17,"16th-20th"
"286","Aston Villa","a",143,2019-12-04,2,1,"H","C Kavanagh",25,9,9,3,18,10,9,5,2,1,0,0,1.28,5.75,10,1,2,"l",0,0.36,0.333333333333333,0,0,1,15,22,24,9,3,1,0,10,5,0.333333333333333,"Chelsea",4,"1st-4th"
"287","Leicester","h",144,2019-12-04,2,0,"H","C Pawson",12,4,6,1,13,16,7,2,3,2,0,0,1.33,5.5,8,2,0,"w",3,0.5,0.25,1,0,0,35,35,9,12,6,3,0,13,7,0.5,"Watford",18,"16th-20th"
"288","Watford","a",144,2019-12-04,2,0,"H","C Pawson",12,4,6,1,13,16,7,2,3,2,0,0,1.33,5.5,8,0,2,"l",0,0.5,0.25,0,0,1,8,9,30,4,1,2,0,16,2,0.25,"Leicester",5,"5th-8th"
"289","Man United","h",145,2019-12-04,2,1,"H","P Tierney",12,8,7,5,9,9,4,3,0,1,0,0,2.75,3.4,2.55,2,1,"w",3,0.583333333333333,0.625,1,0,0,21,23,18,12,7,0,0,9,4,0.583333333333333,"Tottenham",6,"5th-8th"
"290","Tottenham","a",145,2019-12-04,2,1,"H","P Tierney",12,8,7,5,9,9,4,3,0,1,0,0,2.75,3.4,2.55,1,2,"l",0,0.583333333333333,0.625,0,0,1,20,25,23,8,5,1,0,9,3,0.625,"Man United",3,"1st-4th"
"291","Southampton","h",146,2019-12-04,2,1,"H","K Friend",14,10,5,3,12,7,6,1,1,1,0,0,1.72,4,4.2,2,1,"w",3,0.357142857142857,0.3,1,0,0,15,17,33,14,5,1,0,12,6,0.357142857142857,"Norwich",20,"16th-20th"
"292","Norwich","a",146,2019-12-04,2,1,"H","K Friend",14,10,5,3,12,7,6,1,1,1,0,0,1.72,4,4.2,1,2,"l",0,0.357142857142857,0.3,0,0,1,11,16,32,10,3,1,0,7,1,0.3,"Southampton",11,"8th-12th"
"293","Wolves","h",147,2019-12-04,2,0,"H","A Marriner",13,6,7,3,8,9,5,4,1,2,0,0,1.75,3.7,4.75,2,0,"w",3,0.538461538461538,0.5,1,0,0,23,21,17,13,7,1,0,8,5,0.538461538461538,"West Ham",16,"12th-16th"
"294","West Ham","a",147,2019-12-04,2,0,"H","A Marriner",13,6,7,3,8,9,5,4,1,2,0,0,1.75,3.7,4.75,0,2,"l",0,0.538461538461538,0.5,0,0,1,16,17,25,6,3,2,0,9,4,0.5,"Wolves",7,"5th-8th"
"295","Liverpool","h",148,2019-12-04,5,2,"H","M Dean",11,12,5,4,13,17,5,6,1,2,0,0,1.36,5,8.5,5,2,"w",3,0.454545454545455,0.333333333333333,1,0,0,43,37,14,11,5,1,0,13,5,0.454545454545455,"Everton",12,"8th-12th"
"296","Everton","a",148,2019-12-04,5,2,"H","M Dean",11,12,5,4,13,17,5,6,1,2,0,0,1.36,5,8.5,2,5,"l",0,0.454545454545455,0.333333333333333,0,0,1,14,16,27,12,4,2,0,17,6,0.333333333333333,"Liverpool",1,"1st-4th"
"297","Sheffield United","h",149,2019-12-05,0,2,"A","S Attwell",13,6,6,4,10,6,8,1,2,0,0,0,1.83,3.4,4.6,0,2,"l",0,0.461538461538462,0.666666666666667,0,0,1,19,17,15,13,6,2,0,10,8,0.461538461538462,"Newcastle",13,"12th-16th"
"298","Newcastle","a",149,2019-12-05,0,2,"A","S Attwell",13,6,6,4,10,6,8,1,2,0,0,0,1.83,3.4,4.6,2,0,"w",3,0.461538461538462,0.666666666666667,1,0,0,19,15,22,6,4,0,0,6,1,0.666666666666667,"Sheffield United",9,"8th-12th"
"299","Arsenal","h",150,2019-12-05,1,2,"A","G Scott",12,20,5,9,10,11,9,9,3,1,0,0,1.57,4.33,5.5,1,2,"l",0,0.416666666666667,0.45,0,0,1,19,21,23,12,5,3,0,10,9,0.416666666666667,"Brighton",15,"12th-16th"
"300","Brighton","a",150,2019-12-05,1,2,"A","G Scott",12,20,5,9,10,11,9,9,3,1,0,0,1.57,4.33,5.5,2,1,"w",3,0.416666666666667,0.45,1,0,0,18,18,22,20,9,1,0,11,9,0.45,"Arsenal",8,"5th-8th"
"301","Everton","h",151,2019-12-07,3,1,"H","C Pawson",13,15,7,4,14,9,1,5,3,0,0,0,3.5,3.75,2,3,1,"w",3,0.538461538461538,0.266666666666667,1,0,0,17,19,28,13,7,3,0,14,1,0.538461538461538,"Chelsea",4,"1st-4th"
"302","Chelsea","a",151,2019-12-07,3,1,"H","C Pawson",13,15,7,4,14,9,1,5,3,0,0,0,3.5,3.75,2,1,3,"l",0,0.538461538461538,0.266666666666667,0,0,1,29,31,24,15,4,0,0,9,5,0.266666666666667,"Everton",12,"8th-12th"
"303","Bournemouth","h",152,2019-12-07,0,3,"A","C Kavanagh",3,21,0,9,5,6,1,3,0,1,0,0,7,5.25,1.4,0,3,"l",0,0,0.428571428571429,0,0,1,16,18,24,3,0,0,0,5,1,0,"Liverpool",1,"1st-4th"
"304","Liverpool","a",152,2019-12-07,0,3,"A","C Kavanagh",3,21,0,9,5,6,1,3,0,1,0,0,7,5.25,1.4,3,0,"w",3,0,0.428571428571429,1,0,0,46,40,14,21,9,1,0,6,3,0.428571428571429,"Bournemouth",19,"16th-20th"
"305","Tottenham","h",153,2019-12-07,5,0,"H","K Friend",13,7,7,1,12,8,1,1,1,1,0,0,1.4,4.75,8,5,0,"w",3,0.538461538461538,0.142857142857143,1,0,0,23,30,23,13,7,1,0,12,1,0.538461538461538,"Burnley",10,"8th-12th"
"306","Burnley","a",153,2019-12-07,5,0,"H","K Friend",13,7,7,1,12,8,1,1,1,1,0,0,1.4,4.75,8,0,5,"l",0,0.538461538461538,0.142857142857143,0,0,1,18,21,29,7,1,1,0,8,1,0.142857142857143,"Tottenham",6,"5th-8th"
"307","Watford","h",154,2019-12-07,0,0,"D","M Atkinson",13,3,3,0,15,16,6,2,4,2,0,0,2.37,3.3,3.1,0,0,"d",1,0.230769230769231,0,0,1,0,9,9,30,13,3,4,0,15,6,0.230769230769231,"Crystal Palace",14,"12th-16th"
"308","Crystal Palace","a",154,2019-12-07,0,0,"D","M Atkinson",13,3,3,0,15,16,6,2,4,2,0,0,2.37,3.3,3.1,0,0,"d",1,0.230769230769231,0,0,1,0,22,14,18,3,0,2,0,16,2,0,"Watford",18,"16th-20th"
"309","Man City","h",155,2019-12-07,1,2,"A","A Taylor",22,11,5,7,10,10,16,3,3,2,0,0,1.3,5.5,10,1,2,"l",0,0.227272727272727,0.636363636363636,0,0,1,32,44,19,22,5,3,0,10,16,0.227272727272727,"Man United",3,"1st-4th"
"310","Man United","a",155,2019-12-07,1,2,"A","A Taylor",22,11,5,7,10,10,16,3,3,2,0,0,1.3,5.5,10,2,1,"w",3,0.227272727272727,0.636363636363636,1,0,0,24,25,19,11,7,2,0,10,3,0.636363636363636,"Man City",2,"1st-4th"
"311","Aston Villa","h",156,2019-12-08,1,4,"A","M Oliver",15,23,2,8,21,15,8,5,6,2,0,0,4.33,3.8,1.8,1,4,"l",0,0.133333333333333,0.347826086956522,0,0,1,15,23,28,15,2,6,0,21,8,0.133333333333333,"Leicester",5,"5th-8th"
"312","Leicester","a",156,2019-12-08,1,4,"A","M Oliver",15,23,2,8,21,15,8,5,6,2,0,0,4.33,3.8,1.8,4,1,"w",3,0.133333333333333,0.347826086956522,1,0,0,38,39,10,23,8,2,0,15,5,0.347826086956522,"Aston Villa",17,"16th-20th"
"313","Newcastle","h",157,2019-12-08,2,1,"H","D Coote",12,19,6,4,11,17,3,12,1,3,0,0,2.5,3.2,2.9,2,1,"w",3,0.5,0.210526315789474,1,0,0,22,17,23,12,6,1,0,11,3,0.5,"Southampton",11,"8th-12th"
"314","Southampton","a",157,2019-12-08,2,1,"H","D Coote",12,19,6,4,11,17,3,12,1,3,0,0,2.5,3.2,2.9,1,2,"l",0,0.5,0.210526315789474,0,0,1,15,18,35,19,4,3,0,17,12,0.210526315789474,"Newcastle",13,"12th-16th"
"315","Norwich","h",158,2019-12-08,1,2,"A","S Hooper",14,9,4,3,6,12,9,1,0,4,0,0,2.9,3.5,2.37,1,2,"l",0,0.285714285714286,0.333333333333333,0,0,1,11,17,34,14,4,0,0,6,9,0.285714285714286,"Sheffield United",9,"8th-12th"
"316","Sheffield United","a",158,2019-12-08,1,2,"A","S Hooper",14,9,4,3,6,12,9,1,0,4,0,0,2.9,3.5,2.37,2,1,"w",3,0.285714285714286,0.333333333333333,1,0,0,22,19,16,9,3,4,0,12,1,0.333333333333333,"Norwich",20,"16th-20th"
"317","Brighton","h",159,2019-12-08,2,2,"D","J Moss",13,13,4,5,10,7,3,4,3,0,0,0,2.62,3.1,2.87,2,2,"d",1,0.307692307692308,0.384615384615385,0,1,0,19,20,24,13,4,3,0,10,3,0.307692307692308,"Wolves",7,"5th-8th"
"318","Wolves","a",159,2019-12-08,2,2,"D","J Moss",13,13,4,5,10,7,3,4,3,0,0,0,2.62,3.1,2.87,2,2,"d",1,0.307692307692308,0.384615384615385,0,1,0,24,23,19,13,5,0,0,7,4,0.384615384615385,"Brighton",15,"12th-16th"
"319","West Ham","h",160,2019-12-09,1,3,"A","M Dean",11,10,4,3,12,6,4,3,2,0,0,0,3.3,4,2,1,3,"l",0,0.363636363636364,0.3,0,0,1,16,18,28,11,4,2,0,12,4,0.363636363636364,"Arsenal",8,"5th-8th"
"320","Arsenal","a",160,2019-12-09,1,3,"A","M Dean",11,10,4,3,12,6,4,3,2,0,0,0,3.3,4,2,3,1,"w",3,0.363636363636364,0.3,1,0,0,22,24,24,10,3,0,0,6,3,0.3,"West Ham",16,"12th-16th"
"321","Liverpool","h",161,2019-12-14,2,0,"H","A Marriner",16,8,6,2,8,6,6,3,2,1,0,0,1.16,7.5,17,2,0,"w",3,0.375,0.25,1,0,0,49,42,14,16,6,2,0,8,6,0.375,"Watford",18,"16th-20th"
"322","Watford","a",161,2019-12-14,2,0,"H","A Marriner",16,8,6,2,8,6,6,3,2,1,0,0,1.16,7.5,17,0,2,"l",0,0.375,0.25,0,0,1,9,9,32,8,2,1,0,6,3,0.25,"Liverpool",1,"1st-4th"
"323","Burnley","h",162,2019-12-14,1,0,"H","T Robinson",7,9,4,0,15,12,4,3,0,2,0,0,1.95,3.4,4,1,0,"w",3,0.571428571428571,0,1,0,0,21,22,29,7,4,0,0,15,4,0.571428571428571,"Newcastle",13,"12th-16th"
"324","Newcastle","a",162,2019-12-14,1,0,"H","T Robinson",7,9,4,0,15,12,4,3,0,2,0,0,1.95,3.4,4,0,1,"l",0,0.571428571428571,0,0,0,1,22,17,24,9,0,2,0,12,3,0,"Burnley",10,"8th-12th"
"325","Chelsea","h",163,2019-12-14,0,1,"A","G Scott",18,11,5,2,9,14,9,4,1,2,0,0,1.25,6,12,0,1,"l",0,0.277777777777778,0.181818181818182,0,0,1,29,31,25,18,5,1,0,9,9,0.277777777777778,"Bournemouth",19,"16th-20th"
"326","Bournemouth","a",163,2019-12-14,0,1,"A","G Scott",18,11,5,2,9,14,9,4,1,2,0,0,1.25,6,12,1,0,"w",3,0.277777777777778,0.181818181818182,1,0,0,19,19,24,11,2,2,0,14,4,0.181818181818182,"Chelsea",4,"1st-4th"
"327","Leicester","h",164,2019-12-14,1,1,"D","A Madley",18,10,5,3,11,15,12,4,0,4,0,0,1.22,6.5,13,1,1,"d",1,0.277777777777778,0.3,0,1,0,39,40,11,18,5,0,0,11,12,0.277777777777778,"Norwich",20,"16th-20th"
"328","Norwich","a",164,2019-12-14,1,1,"D","A Madley",18,10,5,3,11,15,12,4,0,4,0,0,1.22,6.5,13,1,1,"d",1,0.277777777777778,0.3,0,1,0,12,18,35,10,3,4,0,15,4,0.3,"Leicester",5,"5th-8th"
"329","Sheffield United","h",165,2019-12-14,2,0,"H","P Bankes",7,8,3,0,10,9,3,2,2,2,0,0,1.85,3.75,4.2,2,0,"w",3,0.428571428571429,0,1,0,0,25,21,16,7,3,2,0,10,3,0.428571428571429,"Aston Villa",17,"16th-20th"
"330","Aston Villa","a",165,2019-12-14,2,0,"H","P Bankes",7,8,3,0,10,9,3,2,2,2,0,0,1.85,3.75,4.2,0,2,"l",0,0.428571428571429,0,0,0,1,15,23,30,8,0,2,0,9,2,0,"Sheffield United",9,"8th-12th"
"331","Southampton","h",166,2019-12-14,0,1,"A","M Atkinson",11,11,2,4,9,14,5,8,1,3,0,0,1.9,3.8,3.8,0,1,"l",0,0.181818181818182,0.363636363636364,0,0,1,15,18,36,11,2,1,0,9,5,0.181818181818182,"West Ham",16,"12th-16th"
"332","West Ham","a",166,2019-12-14,0,1,"A","M Atkinson",11,11,2,4,9,14,5,8,1,3,0,0,1.9,3.8,3.8,1,0,"w",3,0.181818181818182,0.363636363636364,1,0,0,19,19,28,11,4,3,0,14,8,0.363636363636364,"Southampton",11,"8th-12th"
"333","Man United","h",167,2019-12-15,1,1,"D","M Oliver",24,8,8,3,10,12,6,5,1,2,0,0,1.8,3.7,4.5,1,1,"d",1,0.333333333333333,0.375,0,1,0,25,26,20,24,8,1,0,10,6,0.333333333333333,"Everton",12,"8th-12th"
"334","Everton","a",167,2019-12-15,1,1,"D","M Oliver",24,8,8,3,10,12,6,5,1,2,0,0,1.8,3.7,4.5,1,1,"d",1,0.333333333333333,0.375,0,1,0,18,20,29,8,3,2,0,12,5,0.375,"Man United",3,"1st-4th"
"335","Wolves","h",168,2019-12-15,1,2,"A","S Attwell",18,9,5,5,14,10,11,2,4,4,0,0,3.25,3.4,2.25,1,2,"l",0,0.277777777777778,0.555555555555556,0,0,1,24,24,21,18,5,4,0,14,11,0.277777777777778,"Tottenham",6,"5th-8th"
"336","Tottenham","a",168,2019-12-15,1,2,"A","S Attwell",18,9,5,5,14,10,11,2,4,4,0,0,3.25,3.4,2.25,2,1,"w",3,0.277777777777778,0.555555555555556,1,0,0,26,32,24,9,5,4,0,10,2,0.555555555555556,"Wolves",7,"5th-8th"
"337","Arsenal","h",169,2019-12-15,0,3,"A","P Tierney",6,14,1,7,9,24,3,3,1,4,0,0,6,5.25,1.44,0,3,"l",0,0.166666666666667,0.5,0,0,1,22,24,27,6,1,1,0,9,3,0.166666666666667,"Man City",2,"1st-4th"
"338","Man City","a",169,2019-12-15,0,3,"A","P Tierney",6,14,1,7,9,24,3,3,1,4,0,0,6,5.25,1.44,3,0,"w",3,0.166666666666667,0.5,1,0,0,35,47,19,14,7,4,0,24,3,0.5,"Arsenal",8,"5th-8th"
"339","Crystal Palace","h",170,2019-12-16,1,1,"D","C Pawson",11,15,4,10,7,12,3,7,1,1,0,0,2.55,3.25,2.87,1,1,"d",1,0.363636363636364,0.666666666666667,0,1,0,23,15,19,11,4,1,0,7,3,0.363636363636364,"Brighton",15,"12th-16th"
"340","Brighton","a",170,2019-12-16,1,1,"D","C Pawson",11,15,4,10,7,12,3,7,1,1,0,0,2.55,3.25,2.87,1,1,"d",1,0.363636363636364,0.666666666666667,0,1,0,20,21,25,15,10,1,0,12,7,0.666666666666667,"Crystal Palace",14,"12th-16th"
"341","Everton","h",171,2019-12-21,0,0,"D","K Friend",9,6,0,2,10,11,5,4,2,3,0,0,2.3,3.8,2.87,0,0,"d",1,0,0.333333333333333,0,1,0,19,20,29,9,0,2,0,10,5,0,"Arsenal",8,"5th-8th"
"342","Arsenal","a",171,2019-12-21,0,0,"D","K Friend",9,6,0,2,10,11,5,4,2,3,0,0,2.3,3.8,2.87,0,0,"d",1,0,0.333333333333333,0,1,0,23,24,27,6,2,3,0,11,4,0.333333333333333,"Everton",12,"8th-12th"
"343","Aston Villa","h",172,2019-12-21,1,3,"A","C Pawson",19,17,6,8,16,15,7,5,2,1,0,0,2.4,3.6,2.8,1,3,"l",0,0.315789473684211,0.470588235294118,0,0,1,15,24,33,19,6,2,0,16,7,0.315789473684211,"Southampton",11,"8th-12th"
"344","Southampton","a",172,2019-12-21,1,3,"A","C Pawson",19,17,6,8,16,15,7,5,2,1,0,0,2.4,3.6,2.8,3,1,"w",3,0.315789473684211,0.470588235294118,1,0,0,18,21,37,17,8,1,0,15,5,0.470588235294118,"Aston Villa",17,"16th-20th"
"345","Bournemouth","h",173,2019-12-21,0,1,"A","M Atkinson",3,2,0,1,13,21,4,5,2,4,0,0,2.4,3.4,2.9,0,1,"l",0,0,0.5,0,0,1,19,19,25,3,0,2,0,13,4,0,"Burnley",10,"8th-12th"
"346","Burnley","a",173,2019-12-21,0,1,"A","M Atkinson",3,2,0,1,13,21,4,5,2,4,0,0,2.4,3.4,2.9,1,0,"w",3,0,0.5,1,0,0,24,23,29,2,1,4,0,21,5,0.5,"Bournemouth",19,"16th-20th"
"347","Brighton","h",174,2019-12-21,0,1,"A","R Jones",9,7,2,2,6,11,4,3,1,3,0,0,2.2,3.25,3.5,0,1,"l",0,0.222222222222222,0.285714285714286,0,0,1,20,21,26,9,2,1,0,6,4,0.222222222222222,"Sheffield United",9,"8th-12th"
"348","Sheffield United","a",174,2019-12-21,0,1,"A","R Jones",9,7,2,2,6,11,4,3,1,3,0,0,2.2,3.25,3.5,1,0,"w",3,0.222222222222222,0.285714285714286,1,0,0,28,22,16,7,2,3,0,11,3,0.285714285714286,"Brighton",15,"12th-16th"
"349","Newcastle","h",175,2019-12-21,1,0,"H","S Hooper",8,16,3,4,12,11,4,5,2,0,0,0,2.37,3.1,3.25,1,0,"w",3,0.375,0.25,1,0,0,25,18,24,8,3,2,0,12,4,0.375,"Crystal Palace",14,"12th-16th"
"350","Crystal Palace","a",175,2019-12-21,1,0,"H","S Hooper",8,16,3,4,12,11,4,5,2,0,0,0,2.37,3.1,3.25,0,1,"l",0,0.375,0.25,0,0,1,23,15,20,16,4,0,0,11,5,0.25,"Newcastle",13,"12th-16th"
"351","Norwich","h",176,2019-12-21,1,2,"A","P Bankes",13,14,7,4,7,14,3,11,2,4,0,0,3.75,3.8,1.9,1,2,"l",0,0.538461538461538,0.285714285714286,0,0,1,12,19,37,13,7,2,0,7,3,0.538461538461538,"Wolves",7,"5th-8th"
"352","Wolves","a",176,2019-12-21,1,2,"A","P Bankes",13,14,7,4,7,14,3,11,2,4,0,0,3.75,3.8,1.9,2,1,"w",3,0.538461538461538,0.285714285714286,1,0,0,27,26,22,14,4,4,0,14,11,0.285714285714286,"Norwich",20,"16th-20th"
"353","Man City","h",177,2019-12-21,3,1,"H","M Dean",23,5,12,2,14,9,6,1,2,2,0,0,1.36,5.25,7.5,3,1,"w",3,0.521739130434783,0.4,1,0,0,38,50,20,23,12,2,0,14,6,0.521739130434783,"Leicester",5,"5th-8th"
"354","Leicester","a",177,2019-12-21,3,1,"H","M Dean",23,5,12,2,14,9,6,1,2,2,0,0,1.36,5.25,7.5,1,3,"l",0,0.521739130434783,0.4,0,0,1,39,41,14,5,2,2,0,9,1,0.4,"Man City",2,"1st-4th"
"355","Watford","h",178,2019-12-22,2,0,"H","L Mason",11,17,3,8,16,11,3,5,3,1,0,0,4.33,4,1.75,2,0,"w",3,0.272727272727273,0.470588235294118,1,0,0,12,11,32,11,3,3,0,16,3,0.272727272727273,"Man United",3,"1st-4th"
"356","Man United","a",178,2019-12-22,2,0,"H","L Mason",11,17,3,8,16,11,3,5,3,1,0,0,4.33,4,1.75,0,2,"l",0,0.272727272727273,0.470588235294118,0,0,1,25,26,22,17,8,1,0,11,5,0.470588235294118,"Watford",18,"16th-20th"
"357","Tottenham","h",179,2019-12-22,0,2,"A","A Taylor",5,13,1,3,9,11,3,5,4,3,1,0,2.37,3.75,2.75,0,2,"l",0,0.2,0.230769230769231,0,0,1,26,32,26,5,1,4,1,9,3,0.2,"Chelsea",4,"1st-4th"
"358","Chelsea","a",179,2019-12-22,0,2,"A","A Taylor",5,13,1,3,9,11,3,5,4,3,1,0,2.37,3.75,2.75,2,0,"w",3,0.2,0.230769230769231,1,0,0,32,33,25,13,3,3,0,11,5,0.230769230769231,"Tottenham",6,"5th-8th"
